Baldassi,Héctor Baldassi,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgD0m9HHiUhe8CmgP2FWS71Iblz2eeiXjQtoMB6o0MSCFxIo5X63vaTPUVOScCtzhZD5Yogx_mWJNlUv_A0Bsnh0BA4xkE-vTNLHs6qgy63fNbQp_kmmNsJwF7stVivAMSCftJLDcwGfb5YeO3zMrIpYY4NshmfR6Un1ySUQRkIuhO69hR7DppK24lIXChP=w124-h164
Baliño,Jorge Baliño,"arbitró la Copa Ciudad de Buenos Aires contra San Lorenzo, en Mar del Plata, cuando el Globito ganó 3-1 en un encuentro que tuvo al 'cuervo' Blanco como expulsado.  En 2016 dirigió el clásico en el Bidegain, con triunfo 1-0 para los locales.",https://blogger.googleusercontent.com/img/a/AVvXsEhQGdiMq6pCOq3sewe8QIxGhTi9aesebRYVP5oN6q0N8n4pJr2ywckkAJjKpZ-3JraPtAStfrpQclJdp_ru0KdnPmve_kKJLDFAt34ZToXTlWbshiaB13tB0FazATMMzkKdO_Y7-RveZmvIrypYiyB3XIUnpEfD2kwT6aaA5f1R4Is1eqlK-gqFIze9tyEy
Barraza,Julio Barraza,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhCe-_NQQR1RSj8vFYQSN4qPV9rBNT5DvAcZO17l3wetRBMV_S2yMygDZ4M4huclTtYgHsOXmbd0-nqULGPMBTMJgVGWpHiSy3j53oS0Kd5ThBmx2Lbrd7M6VcSwBgFLs37yYmORk2pTN_YLDUUtzH-A-HF6jZCBZLgn7WUUp1e3jBtKziet9yFAJceTu0H
Bassi,Gustavo Bassi,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEh1RKSatGM-JVA8aKtn2p8uDFK40YlshcF5B5KRKjN7ZddIG21ftDaDIIlYhBMkCd8C9OpBrG2bnRo6Vcdl0UIjtcuTBXhG3HKS5K0jLi5Msi3CD6j_QrctR0ORRKb89xmBOSaMSxuOirfDHOeNtx86wAlW8RTU27-QfZyRZKrIVC8Yaqm18NXV3b5gXh_q=w124-h164
Bascuñán,Julio Bascuñán (Chile),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEg3jL14YeTsfb8fB1i8MTDX0FEPMiLh4H5V6BBOpZYGZ1mRtrOufVJzUJfro88x5FqZdFlPPP7bcars_LpDkbtbUax1C9omg_5tqJMHubCTBjl4ORg1m2PdK5EJnLXb7xaP0lUaztfmXnVnOXKRIJ0LvsNjUAL-mik2uL-ZrJnK8ovpq7Twg4hbyfJ01U00
Beligoy,Federico Beligoy,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEitldNEaBZTtb6Kcsy7s4cYBZfVkOUJZIRQVFjfjbHsdjPKxnaX-cF2uMT7b-o0IepOz-ObCfZPondFBLeeRsYO6HMxTEimbzLpCVyuybVAaVXKUh_RobNY8loADdHygXIVPAXaeSZLRPySX7hLQaX4r5_6HiDJ1vk2zPxm3FWaEOHdqDfa209sA4xldaP-
Beloso,Gonzalo Beloso,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEj1U06qHMQsTkJnD89bOR2YTANvaLpGAWwM9qoA33rrV6tOtnIEcmfNntC46ZLQC7YMMMKYk-msDFE_EDEwot4hQDjTn15N9-poNmywvuZZWuRPv2Ye757g3OD05j-xSncQ7wDH5uDgUuzDIum686EUnHkxrkKEp4K8u0w2MFvsZ8wB47YP_1mlv0Jj5tTO=w112-h149
Bermúdez,Germán Bermúdez,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEic0JKEuw4QSgLjA5V0LzyRkRDrdD5AWIb52oDLr6QVDJAcULMkV9I4Y-UDzPjackyrlN-g2W6ZLNvwh8QNRAywNupoj-HtjS_gCexI5Ks7v1XiYrKdtCBAN6jlxY8dcquHZ9DAGpEUVqPaZCSdRp9ZoAkwsKcr3db-8U5F4DRWzPiK3aPVG3DEftbK_8VM=w113-h150
Bongianino,Luis Bongianino,sin datos,Foto
Brazenas,Gabriel Brazenas,"Gabriel Vito Brazenas.  Dirigió el partido de la última fecha del Clausura 2009, con Vélez.  Ese día anuló un gol legítimo a Domínguez, cobró un penal para Vélez y no cobró falta a Monzón en el gol de Vélez.  Ese fue su último partido en AFA.",https://blogger.googleusercontent.com/img/a/AVvXsEjpAJ4TCApZjBMlec_sf67-72Z2fmDjTlLTT8-6oKwG9M7OVQP_SIp0OJNXGXfbbzoNTTzvyZ7FXsBXaqY0si7apiYFdHaIAY_QOG-_0qHiJktegLGQ80allGJ4SH9OxLHLXbC-Xiw3XWeRb86ZVTtzcM1G09fcVc6nO2kX72vl0iZq-AdgpMhzf3c0bB5V
Buitrago,Hernando Buitrago (Colombia),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgoy89pOAXFfWL27kDWNbwVArtje6eSFOCXI-BZSCG9yw8WoVYGUYHtwkXf2RHY54y3E4rhiBihoOMwn5cBSuX-ulPfLztIW9jVtFUmHWThrWSCyONL1aUPbw-GiebCXUmRgcc3w8tNFthAq4uvorAgTbWtYmYoXXc8tA1xAdD8cFL6IQ5BZxj7UTQwq-nj=w136-h181
Cáceres,Enrique Cáceres (Paraguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhRKPuDPXu5iMJH4uCc6SDfTHMcNwEkKeRASMf8m1yfH-fCecpq_p0L6DCgIZucZOHNL_bYR5VuA9irmU6x_BT9PqeauJtY0MtK8QZHTqFPQG_I8WR9_236rEIo2s2kVEl15fPvXpUz6tHq9KsmXofewcpq2TxuW9IeJRNE3nsKvteVAtC_7HjtCvCXKqEB=w104-h139
Carrillo,Víctor Carrillo (Perú),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhJ5euVz0GtQlSMyWgBCNbeU1Ez6wAEq6MSCSFKGSoUWnLq1AB2TXOV3mKTdUs4lIe7gtu3pEVbch0WWsGJINR4nv5bUBB0C-bz0igB2KEKGmMILcHXqqopLTnLnBbM2MINCXcaGVNB8eRbu33FOjFLrLWfmiYDEMOlW4n51wAH0bhx5XMZnBljYZmhNLCj
Castro,Alejandro Castro,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhrnhTswGqzjicW6WP_RBIETl5oEIlcHbvyaD2RDfE9q772GFqb0OEKwXdPLiqEk1_G6Q-Y4E6lolyhSEKB6UKS4FP-vfjT5DeR3mR5A5inmEBtsc3tbQwDKs7_z4-CL7oEuhdPZNqYhv9MGi3thuWbNblXXGhcqrOodN1EWOF42t2roiMndlMK8SqvG9uk=w108-h144
Ceballos,Diego Ceballos,"dirigió el desempate por el tercer puesto del Nacional B ante Independiente, que permitía un ascenso.  Ese día no cobró un gol a 'Wanchope' Ábila por considerar offside, cuando este estaba en posición legítima.",https://blogger.googleusercontent.com/img/a/AVvXsEgHvQTFmeQbOA5o-Pveg_RWRuiZQYQQCmcYi8aht6281K8OzrgUns0QKMXieBD07FqY7t84t5xwwsSqXFvhcx8lqVM8UciOiSJBlYDsFgswLfKcEPjVBi35aoCzXQGlMhWe63XvtgPTYn3yqykf3P_cVfAt2uw0gqSKHOFWj5RQP9PyOsqGJiLkK0UFzGta
Chacón,Francisco Chacón (México),Francisco Chacón Gutiérrez,https://blogger.googleusercontent.com/img/a/AVvXsEhEelRPRhrGCKUhV0-JtKrBoKolbdHn5pDI6HCDEKFu-gK_q1J2GO5-QUMIB8cwTlZJxgM2FLFlu_NGPL1DGMILft-8dM89QMSaRl9DE4o0Hqibh8Ue6MRdDdxFReCSXm4Nznp-7WvcR5bk-qf6vQZGQSK9SZYQnvMBsmYceTDFBwUeLCs3K_t8N41oWFLE=w109-h146
Claus,Raphael Claus (Brasil),"Arbitró Uruguay-Chile, Uruguay-Paraguay y Colombia-Perú (3° puesto) en la Copa América 2021.  En el Mundial 2022 arbitró Inglaterra-Irán y Marruecos-Canadá.  En la Copa América 2024 dirigió Venezuela-México y la final entre Argentina y Colombia.",https://blogger.googleusercontent.com/img/a/AVvXsEiLbowXHdA_mOmRlm8qLD1PW7hKnrRLZoHyjP389pMN_sLPc5ULw_8-QxxPD_qOM2kcodoSEdJOtuyDfDXAz4IGZ-73ba5sRfzKiN6E8OHHWQ2yka-bQLtbp5W44jxjJ9kj4nW4-K0Y1tkU0XLSCoW2gOoLMJWZdaCERy1uKbcbxCHGn-hjjPcNnGomBxU3
Collado,Javier Collado,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEiTqgq877bxraaYyaM4OHFMEt4RC4PBQO25R0zdv4uMiI-T_TqpM3NK-74Nifmfu6AYuJe1GH0LL-wllm66vhTfvVWhCGbeMwQtAwRloLBbFiqdJQ6WnHU_fDxI5_17R_E6l5h6N-yHbB84NrFpYaIDhDYSd-rW0fPnSCIisgFeZLfi8JBNYaPR5CF6sy5T=w102-h136
Comesaña,Lucas Comesaña,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgjU2A39OL-qexc8biDO-sqDwbTlA_oi6tRQLwvjaC5p6Dft5kOcAcYMnrix7mtCTa89UdgJFv_nO02ol0LPtXYcuJ4e4hJZygOZ1UusB9r1yCTXKyUiVX9NWw_oZV5_5J1xyHkSIRq0tJy99JqNchQ-ew6zj2hp5pPOPF-GnBr5_1uOFab9DcV3YFyKkKz
